Borrower_ID,Gender,Tipe_Identitas,Wilayah,Status_Pekerjaan,Pendapatan_Bulanan,SIM_Card,Jumlah_Pinjaman,Durasi_Peminjaman,Status_Peminjaman
B00001,Female,KTP,Jakarta,Yes,5660000,Telkomsel,1120000,2,No
B00002,Male,KTM,Jakarta,No,1540000,Indosat,1250000,2,No
B00003,Male,KTP,Banten,Yes,4050000,Telkomsel,1640000,1,No
B00004,Female,KTP,Jakarta,Yes,4560000,Telkomsel,810000,2,No
B00005,Male,KTP,Jakarta,Yes,4910000,XL,1200000,1,No
B00006,Male,KTP,Jakarta,No,960000,Telkomsel,1410000,1,No
B00007,Female,KTP,Jakarta,Yes,3180000,Tri,1260000,1,No
B00008,Male,KTP,Jakarta,No,2250000,Telkomsel,1240000,1,No
B00009,Male,KTP,Jakarta,Yes,4780000,XL,1780000,1,No
B00010,Female,KTP,Jakarta,Yes,3740000,Telkomsel,0,2,No
B00011,Male,KTM,Jakarta,No,2790000,Telkomsel,0,1,No
B00012,Male,KTP,Jakarta,No,1690000,XL,1870000,1,No
B00013,Female,KTP,Jakarta,Yes,3600000,XL,360000,1,No
B00014,Male,KTP,Jakarta,Yes,5740000,Telkomsel,930000,1,No
B00015,Male,KTP,Jakarta,Yes,3040000,Telkomsel,1700000,12,No
B00016,Male,KTP,Jakarta,Yes,5750000,XL,440000,1,No
B00017,Female,KTP,Jakarta,Yes,6410000,Telkomsel,0,5,No
B00018,Male,KTM,Jakarta,No,2250000,Telkomsel,810000,2,No
B00019,Male,KTP,Jakarta,Yes,7860000,Telkomsel,740000,3,No
B00020,Female,KTP,Jakarta,Yes,3380000,Telkomsel,1680000,1,No
B00021,Male,KTP,Jakarta,Yes,6440000,Indosat,350000,2,No
B00022,Female,KTP,Jakarta,Yes,4140000,Telkomsel,1460000,9,No
B00023,Male,KTP,Jakarta,Yes,6550000,Tri,1620000,1,No
B00024,Female,KTP,Banten,Yes,3890000,Telkomsel,980000,2,No
B00025,Female,KTP,Jakarta,Yes,4380000,Telkomsel,1180000,3,No
B00026,Female,KTP,Jakarta,Yes,3220000,XL,1310000,2,No
B00027,Female,KTP,Jakarta,Yes,5290000,Indosat,980000,1,No
B00028,Male,KTP,Jakarta,Yes,4110000,XL,2230000,1,No
B00029,Male,KTP,Jakarta,Yes,5020000,Telkomsel,940000,1,No
B00030,Male,KTP,Jakarta,No,2110000,Telkomsel,1710000,1,No
B00031,Female,KTP,Jakarta,Yes,6940000,XL,760000,1,No
B00032,Female,KTM,Jakarta,No,2020000,Indosat,690000,1,No
B00033,Male,KTP,Jakarta,No,2860000,Telkomsel,900000,2,No
B00034,Male,KTP,Jakarta,Yes,5980000,Telkomsel,1400000,11,No
B00035,Male,KTP,Jakarta,No,2890000,Telkomsel,2180000,7,No
B00036,Female,KTP,Jakarta,No,1680000,Telkomsel,2300000,1,No
B00037,Male,KTP,Jakarta,Yes,6100000,XL,1060000,1,No
B00038,Male,KTP,Jakarta,Yes,4480000,XL,540000,1,No
B00039,Male,KTP,Jakarta,Yes,4830000,XL,1140000,1,No
B00040,Male,KTP,Jakarta,Yes,5040000,Telkomsel,1000000,3,No
B00041,Male,KTP,Jakarta,Yes,5330000,Telkomsel,1340000,1,No
B00042,Male,KTP,Jakarta,Yes,6570000,Telkomsel,1280000,1,No
B00043,Female,KTP,Jakarta,Yes,5480000,Telkomsel,1760000,1,No
B00044,Male,KTP,Jakarta,No,2150000,Telkomsel,340000,1,No
B00045,Male,KTP,Jakarta,No,2430000,Indosat,2590000,1,No
B00046,Male,KTP,Jakarta,Yes,6920000,Telkomsel,630000,1,No
B00047,Female,KTP,Jakarta,Yes,6390000,XL,1900000,7,No
B00048,Female,KTP,Jakarta,Yes,4770000,Indosat,1880000,2,No
B00049,Male,KTP,Jakarta,Yes,6090000,Telkomsel,1260000,1,No
B00050,Female,KTP,Jakarta,Yes,4040000,Telkomsel,1310000,1,No
B00051,Male,KTP,Jakarta,Yes,5440000,Telkomsel,860000,1,No
B00052,Male,KTP,Jakarta,No,1670000,Telkomsel,1960000,1,No
B00053,Male,KTP,Jakarta,No,3390000,Indosat,2310000,1,No
B00054,Female,KTP,Jakarta,No,2150000,XL,1380000,1,No
B00055,Male,KTP,Jakarta,Yes,6370000,Telkomsel,0,1,No
B00056,Male,KTP,Jakarta,No,1340000,Indosat,1980000,1,No
B00057,Male,KTP,Jakarta,No,2030000,Telkomsel,1950000,1,No
B00058,Male,KTP,Jakarta,Yes,6220000,Tri,2350000,3,No
B00059,Male,KTP,Jakarta,Yes,4990000,Telkomsel,2040000,1,No
B00060,Male,KTP,Jakarta,Yes,4260000,Telkomsel,750000,1,No
B00061,Female,KTP,Jakarta,Yes,5930000,XL,1170000,2,No
B00062,Male,KTP,Jakarta,Yes,8090000,Telkomsel,1060000,3,No
B00063,Female,KTP,Jakarta,Yes,4140000,Indosat,0,2,No
B00064,Male,KTP,Jakarta,Yes,4700000,Indosat,2270000,1,No
B00065,Male,KTP,Jakarta,Yes,5790000,Telkomsel,1510000,1,No
B00066,Male,KTP,Jakarta,Yes,4300000,Tri,1990000,1,No
B00067,Male,KTP,Jakarta,Yes,6980000,Telkomsel,1600000,11,No
B00068,Male,KTP,Jakarta,Yes,5570000,Telkomsel,0,1,No
B00069,Male,KTP,Jakarta,Yes,4890000,Telkomsel,1330000,1,No
B00070,Male,KTP,Jakarta,Yes,6140000,Telkomsel,1060000,1,No
B00071,Female,KTP,Jakarta,Yes,4030000,Telkomsel,920000,2,No
B00072,Female,KTP,Jakarta,Yes,6550000,XL,660000,2,No
B00073,Female,KTP,Jakarta,Yes,5060000,Telkomsel,2140000,10,No
B00074,Male,KTP,Jakarta,No,2540000,Telkomsel,2420000,1,No
B00075,Male,KTP,Jakarta,Yes,3400000,Telkomsel,1310000,5,No
B00076,Male,KTM,Jakarta,No,2070000,Tri,1150000,1,No
B00077,Male,KTP,Jakarta,No,1940000,Telkomsel,1190000,1,No
B00078,Female,KTP,Jakarta,Yes,5760000,Indosat,1120000,1,No
B00079,Female,KTP,Jakarta,Yes,3620000,XL,120000,9,No
B00080,Male,KTP,Jakarta,Yes,5280000,Tri,300000,3,No
B00081,Male,KTM,Jakarta,No,1820000,XL,1450000,1,No
B00082,Female,KTP,Jakarta,Yes,5020000,XL,660000,1,No
B00083,Female,KTP,Jakarta,Yes,5900000,Tri,710000,1,No
B00084,Male,KTP,Jakarta,Yes,4220000,Telkomsel,880000,1,No
B00085,Female,KTP,Jakarta,Yes,6540000,Telkomsel,510000,1,No
B00086,Male,KTP,Jakarta,Yes,7710000,Telkomsel,780000,2,No
B00087,Female,KTP,Jakarta,No,3070000,XL,1540000,1,No
B00088,Female,KTP,Jakarta,No,1690000,Telkomsel,250000,1,No
B00089,Male,KTP,Jakarta,Yes,6450000,XL,1430000,1,No
B00090,Female,KTP,Jakarta,No,1520000,Telkomsel,1370000,2,No
B00091,Male,KTP,Jakarta,Yes,5680000,Telkomsel,2040000,3,No
B00092,Male,KTP,Jakarta,Yes,4470000,Telkomsel,2150000,2,No
B00093,Female,KTP,Jakarta,No,2120000,XL,1760000,3,No
B00094,Male,KTP,Jakarta,Yes,7350000,XL,560000,1,No
B00095,Male,KTP,Jakarta,Yes,5860000,Telkomsel,690000,1,No
B00096,Male,KTP,Jakarta,Yes,6580000,XL,1260000,1,No
B00097,Female,KTP,Jakarta,No,2010000,Telkomsel,950000,2,No
B00098,Male,KTP,Jakarta,Yes,5920000,Tri,1600000,1,No
B00099,Male,KTP,Jakarta,Yes,6020000,Telkomsel,370000,11,No
B00100,Male,KTP,Jakarta,Yes,5800000,Telkomsel,290000,1,No
B00101,Male,KTP,Jakarta,Yes,4880000,Tri,2180000,1,No
B00102,Male,KTP,Jakarta,Yes,7840000,Indosat,590000,2,No
B00103,Male,KTP,Jakarta,Yes,5840000,Telkomsel,1780000,2,No
B00104,Male,KTP,Jakarta,Yes,2190000,XL,1350000,1,No
B00105,Male,KTP,Jakarta,Yes,8350000,Indosat,2240000,1,No
B00106,Male,KTP,Jakarta,No,2460000,XL,2640000,2,No
B00107,Female,KTM,Jakarta,No,1860000,Telkomsel,1180000,1,No
B00108,Male,KTP,Jakarta,Yes,4190000,Telkomsel,1470000,1,No
B00109,Male,KTP,Jakarta,Yes,8680000,Telkomsel,1850000,3,No
B00110,Male,KTP,Jakarta,Yes,3900000,Telkomsel,1620000,2,No
B00111,Male,KTP,Jakarta,Yes,5940000,Telkomsel,180000,1,No
B00112,Male,KTP,Jakarta,Yes,7410000,Telkomsel,910000,1,No
B00113,Male,KTP,Jakarta,Yes,6090000,XL,0,1,No
B00114,Male,KTP,Jakarta,No,2080000,Telkomsel,830000,2,No
B00115,Male,KTP,Jakarta,Yes,5740000,Telkomsel,1710000,2,No
B00116,Female,KTP,Jakarta,No,2620000,XL,1240000,11,No
B00117,Male,KTP,Jakarta,Yes,4190000,Telkomsel,420000,1,No
B00118,Female,KTP,Jakarta,Yes,6090000,Indosat,1710000,1,No
B00119,Male,KTP,Jakarta,Yes,4280000,Telkomsel,1330000,3,No
B00120,Female,KTP,Jakarta,No,2250000,XL,1800000,3,No
B00121,Male,KTP,Jakarta,Yes,5420000,Telkomsel,930000,1,No
B00122,Male,KTP,Jakarta,Yes,7070000,Telkomsel,420000,2,No
B00123,Male,KTP,Jakarta,Yes,6330000,Telkomsel,690000,1,No
B00124,Male,KTP,Jakarta,No,1360000,XL,1270000,2,No
B00125,Female,KTP,Jakarta,Yes,4330000,Telkomsel,660000,2,No
B00126,Male,KTP,Jakarta,Yes,4060000,Indosat,0,2,No
B00127,Male,KTM,Jakarta,No,2350000,Telkomsel,2380000,3,No
B00128,Female,KTP,Jakarta,Yes,4300000,Indosat,1420000,1,No
B00129,Male,KTP,Jakarta,Yes,6260000,Telkomsel,2100000,1,No
B00130,Male,KTP,Jakarta,No,2370000,Tri,1460000,1,No
B00131,Male,KTP,Jakarta,No,2940000,Tri,1980000,5,No
B00132,Male,KTP,Jakarta,Yes,3160000,Telkomsel,890000,1,No
B00133,Male,KTP,Jakarta,No,2460000,Telkomsel,520000,2,No
B00134,Female,KTP,Jakarta,Yes,5700000,Indosat,630000,5,No
B00135,Male,KTP,Jakarta,Yes,6840000,Telkomsel,1860000,3,No
B00136,Male,KTP,Jakarta,Yes,5630000,Indosat,920000,1,No
B00137,Male,KTP,Jakarta,No,2280000,Tri,2280000,12,Yes
B00138,Female,KTP,Jakarta,Yes,7650000,Telkomsel,1440000,10,No
B00139,Male,KTP,Jakarta,Yes,6320000,XL,0,9,No
B00140,Male,KTP,Jakarta,No,2660000,Indosat,1530000,2,No
B00141,Female,KTP,Jakarta,No,1440000,Telkomsel,1150000,1,No
B00142,Male,KTP,Jakarta,Yes,1970000,Telkomsel,500000,1,No
B00143,Male,KTP,Jakarta,No,2040000,XL,880000,1,No
B00144,Female,KTP,Jakarta,Yes,4590000,XL,680000,1,No
B00145,Male,KTP,Jakarta,Yes,5040000,Indosat,1820000,1,No
B00146,Male,KTP,Jakarta,Yes,6550000,Telkomsel,150000,1,No
B00147,Male,KTP,Jakarta,Yes,5510000,Tri,1550000,1,No
B00148,Male,KTP,Jakarta,Yes,5730000,Telkomsel,1930000,3,No
B00149,Male,KTP,Jakarta,No,990000,Telkomsel,1800000,1,No
B00150,Female,KTP,Jakarta,Yes,5610000,Indosat,1120000,1,No
B00151,Male,KTP,Jakarta,Yes,5670000,Indosat,540000,3,No
B00152,Male,KTP,Jakarta,Yes,4710000,Telkomsel,640000,1,No
B00153,Female,KTP,Jakarta,Yes,5030000,Telkomsel,820000,1,No
B00154,Male,KTP,Jakarta,Yes,4130000,Telkomsel,150000,2,No
B00155,Male,KTM,Jakarta,No,2030000,Tri,2220000,1,No
B00156,Female,KTP,Jakarta,Yes,5030000,Telkomsel,540000,3,No
B00157,Male,KTM,Jakarta,No,1800000,Telkomsel,1130000,1,No
B00158,Male,KTP,Jakarta,Yes,5260000,XL,2000000,1,No
